Year,FSchiller,CSchiller,CStein,CGoethe
1776,0,0,117,0
1777,0,0,91,0
1778,0,0,85,0
1779,0,0,68,0
1780,0,0,171,0
1781,0,0,241,0
1782,0,0,270,0
1783,0,0,153,0
1784,0,0,142,0
1785,0,0,162,0
1786,0,0,101,0
1787,0,0,20,0
1788,0,0,7,0
1789,0,0,4,0
1790,0,0,0,0
1791,0,0,0,0
1792,0,0,0,12
1793,0,0,0,24
1794,36,0,0,2
1795,100,1,0,24
1796,125,0,0,33
1797,131,4,0,62
1798,163,4,0,60
1799,131,0,0,53
1800,93,0,0,26
1801,42,0,0,14
1802,50,0,0,45
1803,53,5,0,37
1804,45,1,0,4
1805,25,0,0,3
1806,0,0,0,9
1807,0,0,0,16
1808,0,0,0,22
1809,0,0,0,33
1810,0,0,0,43
1811,0,0,0,11
1812,0,0,0,18
1813,0,0,0,19
1814,0,0,0,19
1815,0,0,0,23
1816,0,0,0,3
1817,0,0,0,0
1818,0,0,0,0
1819,0,0,0,0
1820,0,0,0,0
