Year,CSchiller,CStein,CGoethe,FSchiller
1775,0,0,0,0
1776,0,117,0,0
1777,0,91,0,0
1778,0,85,0,0
1779,0,68,0,0
1780,0,171,0,0
1781,0,241,0,0
1782,0,270,0,0
1783,0,153,0,0
1784,0,142,0,0
1785,0,162,0,0
1786,0,101,0,0
1787,0,20,0,0
1788,0,7,0,0
1789,0,4,0,0
1790,0,0,0,0
1791,0,0,0,0
1792,0,0,12,0
1793,0,0,24,0
1794,0,0,2,36
1795,1,0,24,100
1796,0,0,33,125
1797,4,0,62,131
1798,4,0,60,163
1799,0,0,53,131
1800,0,0,26,93
1801,0,0,14,42
1802,0,0,45,50
1803,5,0,37,53
1804,1,0,4,45
1805,0,0,3,25
1806,0,0,9,0
1807,0,0,16,0
1808,0,0,22,0
1809,0,0,33,0
1810,0,0,43,0
1811,0,0,11,0
1812,0,0,18,0
1813,0,0,19,0
1814,0,0,19,0
1815,0,0,23,0
1816,0,0,3,0
1817,0,0,0,0
1818,0,0,0,0
1819,0,0,0,0
1820,0,0,0,0
1821,0,0,0,0
1822,0,0,0,0
1823,0,0,0,0
1824,0,0,0,0
1825,0,0,0,0
